hotel_name,rating,total_review,hotel_star,price,facility_pool,facility_wifi,facility_breakfast,facility_beach_access,facility_pet_friendly,facility_spa
Loccal Collection Hotel,4.2,905,4-star hotel,1930000,Yes,No,Yes,No,No,Yes
Sunset Hill Hotel,4.1,277,3-star hotel,627000,No,Yes,Yes,No,No,No
Plataran Komodo Resort & Spa,4.7,562,5-star hotel,4510000,Yes,No,Yes,No,No,Yes
Meruorah Komodo Labuan Bajo,4.7,488,5-star hotel,2930000,Yes,Yes,No,No,No,Yes
Sylvia Beach Villa,4.2,79,3-star hotel,569000,Yes,No,Yes,Yes,No,No
AYANA Komodo Resort,4.8,2192,Resort hotel,4390000,Yes,No,Yes,No,No,Yes
Komodo Lodge,4,276,3-star hotel,553000,No,Yes,Yes,No,No,No
Sylvia Resort Komodo,4.2,1304,3-star hotel,588000,Yes,Yes,No,No,No,No
Blue Parrot Komodo,4.3,68,2-star hotel,641000,No,Yes,Yes,No,No,No
Waecicu Eden Beach Hotel,3.8,93,Hotel,893000,No,Yes,No,Yes,No,No
Loccal Collection Hotel,4.2,905,4-star hotel,1930000,Yes,No,Yes,No,No,Yes
Waecicu Beach Inn,3.8,402,2-star hotel,269000,No,Yes,Yes,Yes,No,No
Blue Marlin Dive Komodo,4.4,408,4-star hotel,874000,Yes,No,No,Yes,No,No
Golo Hilltop Hotel,4.4,221,1-star hotel,438000,Yes,Yes,Yes,Yes,No,No
Dragon Dive Komodo Hotel,4.3,226,2-star hotel,655000,Yes,Yes,No,No,No,No
Seaesta Komodo Hostel & Hotel,4.6,590,Hostel,445000,Yes,Yes,No,No,No,No
Exotic Komodo Hotel,4.1,636,3-star hotel,408000,No,Yes,Yes,No,No,No
Sunset Hill Hotel,4.1,277,3-star hotel,627000,No,Yes,Yes,No,No,No
Harbour komodo hotel,4.9,31,Hotel,644000,Yes,Yes,No,Yes,No,No
TRIPLE 8 SUITES,4,67,Hotel,862000,Yes,Yes,No,No,No,No
Theodor Hotel Labuan Bajo,4.7,56,Hotel,836000,Yes,Yes,No,No,No,No
Blue Parrot Komodo,4.3,68,2-star hotel,641000,No,Yes,Yes,No,No,No
Sylvia Beach Villa,4.2,79,3-star hotel,569000,Yes,Yes,Yes,Yes,No,No
Eco Tree O'tel,4.1,443,3-star hotel,483000,No,Yes,No,Yes,No,Yes
"Sudamala Resort, Komodo",4.5,203,5-star hotel,2620000,Yes,Yes,Yes,No,No,No
The Seraya Resort Komodo,4.7,69,Hotel,176000,Yes,No,Yes,Yes,No,No
Mohini Resort,4.5,77,Hotel,752000,Yes,Yes,Yes,Yes,No,No
Mohini komodo,4.5,172,Lodging,744000,Yes,Yes,No,No,No,No
Blue Ocean Hotel,4,131,Hotel,462000,No,Yes,Yes,No,No,No
Hotel Bonne Nuit,4.2,117,3-star hotel,320000,No,Yes,Yes,No,No,No
Green Prundi Hotel,4,296,2-star hotel,303000,No,Yes,Yes,No,No,No
Cahaya Adrian Hotel,3.7,76,Hotel,273000,No,Yes,Yes,No,No,No
Siola Hotel,3.6,239,2-star hotel,215000,No,Yes,Yes,Yes,No,No
World Bnb,4.4,160,Bed & breakfast,405000,Yes,No,Yes,No,No,No
Matahari Hotel,3.8,259,Hotel,459000,No,Yes,Yes,No,No,No
Tarsan Homestay,4.4,32,Lodge,296000,Yes,Yes,No,No,No,No
Golo Tango Homestay,4.8,30,Hotel,351000,No,Yes,Yes,No,No,No
Pesona Bali,4.1,217,Seafood,298000,No,Yes,No,No,No,No
Bintang Flores Hotel,4.4,1292,4-star hotel,1240000,Yes,Yes,Yes,No,No,No
Manta Manta Homestay,3.8,91,Guest house,270000,No,Yes,No,No,Yes,No
El Ora Inn & Eatery Labuan Bajo,4.9,70,Hotel,338000,No,Yes,No,No,No,No
OYO 841 Orange Hotel,3.3,143,Hotel,535000,No,Yes,Yes,No,No,No
Green Prundi Hotel,4,296,2-star hotel,303000,No,Yes,Yes,No,No,No
Sylvia Resort Komodo,4.2,1302,3-star hotel,588000,Yes,Yes,Yes,No,No,No
Laprima Hotel,4.3,1734,4-star hotel,916000,Yes,No,Yes,No,No,Yes
CF Komodo Hotel,3.3,120,2-star hotel,284000,No,Yes,Yes,No,No,No
DANKE LODGE,4.6,134,1-star hotel,280000,No,Yes,No,No,No,No
de Credo RedPartner,4.5,2,Hotel,291000,No,Yes,No,No,No,No
Green Hill Boutique Hotel,3.9,262,1-star hotel,384000,No,Yes,Yes,No,No,No
Mulia homestay labuan bajo RedPartner,4.2,5,Hotel,720000,No,No,No,No,No,No
Bajo Sunset Hostel and Grill,4,95,1-star hotel,315000,Yes,Yes,Yes,Yes,No,No
Bukit Sylvia,5,3,Lodging,1980000,No,Yes,No,No,No,No
The Teuz B&B,4.2,79,Bed & breakfast,200000,No,Yes,Yes,No,No,No
Wae Molas - Your Urban Oasis,4.7,63,Hotel,693000,Yes,Yes,No,No,No,Yes
Villa Alam Flores Komodo Labuan Bajo RedPartner,4,23,Hotel,891000,No,Yes,No,No,No,No
Luwansa Beach Resort,4.2,820,4-star hotel,544000,Yes,Yes,Yes,No,No,No
de Chocolate hostel-hotel-Lounge Bar,3.8,154,2-star hotel,455000,No,Yes,Yes,No,No,No
Aulya Hotel Labuhanbajo,3.6,84,3-star hotel,450000,No,Yes,No,No,No,No
Hotel Palm Bajo,4.4,9,Hotel,594000,No,Yes,No,No,No,No
Selini on the Hill Villas & Spa,4,180,3-star hotel,573000,No,Yes,Yes,Yes,No,Yes
Hotel KALTON,4.2,175,2-star hotel,516000,No,Yes,Yes,No,No,No
Centro Bajo Hotel & Resto,4.1,233,Hotel,486000,No,No,Yes,No,No,No
